Periode,Supplier,Kode Article,Nama Article,Qty
2020-02-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003170403,ANTANGIN 4 S ( 1 PAK ISI 20),6.0
2020-03-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003170403,ANTANGIN 4 S ( 1 PAK ISI 20),22.0
2020-04-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003170403,ANTANGIN 4 S ( 1 PAK ISI 20),6.0
2020-05-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003170403,ANTANGIN 4 S ( 1 PAK ISI 20),18.0
2020-06-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003170403,ANTANGIN 4 S ( 1 PAK ISI 20),22.0
2020-07-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003170403,ANTANGIN 4 S ( 1 PAK ISI 20),14.0
2020-08-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003170403,ANTANGIN 4 S ( 1 PAK ISI 20),16.0
2020-09-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003170403,ANTANGIN 4 S ( 1 PAK ISI 20),13.0
2020-10-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003170403,ANTANGIN 4 S ( 1 PAK ISI 20),28.0
2020-11-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003170403,ANTANGIN 4 S ( 1 PAK ISI 20),14.0
2020-12-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003170403,ANTANGIN 4 S ( 1 PAK ISI 20),19.0
2021-01-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003170403,ANTANGIN 4 S ( 1 PAK ISI 20),30.0
2021-02-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003170403,ANTANGIN 4 S ( 1 PAK ISI 20),21.0
2021-03-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003170403,ANTANGIN 4 S ( 1 PAK ISI 20),24.0
2021-04-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003170403,ANTANGIN 4 S ( 1 PAK ISI 20),17.0
2021-05-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003170403,ANTANGIN 4 S ( 1 PAK ISI 20),27.0
2021-06-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003170403,ANTANGIN 4 S ( 1 PAK ISI 20),22.0
2021-07-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003170403,ANTANGIN 4 S ( 1 PAK ISI 20),0.0
2021-08-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003170403,ANTANGIN 4 S ( 1 PAK ISI 20),0.0
2021-09-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003170403,ANTANGIN 4 S ( 1 PAK ISI 20),0.0
2021-10-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003170403,ANTANGIN 4 S ( 1 PAK ISI 20),1.0
2021-11-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003170403,ANTANGIN 4 S ( 1 PAK ISI 20),12.0
2021-12-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003170403,ANTANGIN 4 S ( 1 PAK ISI 20),26.0
2022-01-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003170403,ANTANGIN 4 S ( 1 PAK ISI 20),13.0
2022-02-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003170403,ANTANGIN 4 S ( 1 PAK ISI 20),14.0
2022-03-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003170403,ANTANGIN 4 S ( 1 PAK ISI 20),30.0
2022-04-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003170403,ANTANGIN 4 S ( 1 PAK ISI 20),19.0
2022-05-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003170403,ANTANGIN 4 S ( 1 PAK ISI 20),30.0
2022-06-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003170403,ANTANGIN 4 S ( 1 PAK ISI 20),20.0
2022-07-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003170403,ANTANGIN 4 S ( 1 PAK ISI 20),18.0
2022-08-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003170403,ANTANGIN 4 S ( 1 PAK ISI 20),6.0
2022-09-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003170403,ANTANGIN 4 S ( 1 PAK ISI 20),17.0
2022-10-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003170403,ANTANGIN 4 S ( 1 PAK ISI 20),13.0
2022-11-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003170403,ANTANGIN 4 S ( 1 PAK ISI 20),12.0
2022-12-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003170403,ANTANGIN 4 S ( 1 PAK ISI 20),19.0
2023-01-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003170403,ANTANGIN 4 S ( 1 PAK ISI 20),19.0
2023-02-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003170403,ANTANGIN 4 S ( 1 PAK ISI 20),8.0
2023-03-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003170403,ANTANGIN 4 S ( 1 PAK ISI 20),1.0
2023-04-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003170403,ANTANGIN 4 S ( 1 PAK ISI 20),5.0
2023-05-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003170403,ANTANGIN 4 S ( 1 PAK ISI 20),18.0
2023-06-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003170403,ANTANGIN 4 S ( 1 PAK ISI 20),7.0
2023-07-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003170403,ANTANGIN 4 S ( 1 PAK ISI 20),8.0
2023-08-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003170403,ANTANGIN 4 S ( 1 PAK ISI 20),12.0
2023-09-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003170403,ANTANGIN 4 S ( 1 PAK ISI 20),6.0
2023-10-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003170403,ANTANGIN 4 S ( 1 PAK ISI 20),5.0
2023-11-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003170403,ANTANGIN 4 S ( 1 PAK ISI 20),16.0
2023-12-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003170403,ANTANGIN 4 S ( 1 PAK ISI 20),4.0
2024-01-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003170403,ANTANGIN 4 S ( 1 PAK ISI 20),15.0
2024-02-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003170403,ANTANGIN 4 S ( 1 PAK ISI 20),13.0
2024-03-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003170403,ANTANGIN 4 S ( 1 PAK ISI 20),6.0
